|kod_gen_func|kod_standard|kod_gen_func|name_gen_func|gen_func_skill_level|posts|education_and_training_requirements|requirements_for_practical_experience|name_sim_func|kod_sim_func|sim_func_skill_level|activities|skills|knowledge
0|0|06.001|A|Разработка и отладка программного кода|3|"Младший программист
Техник-программист"|"Среднее профессиональное образование
Повышение квалификации"|-|Формализация и алгоритмизация поставленных задач|A/01.3|3|"Составление формализованных описаний решений поставленных задач в соответствии с требованиями технического задания или других принятых в организации нормативных документов
Разработка алгоритмов решения поставленных задач в соответствии с требованиями технического задания или других принятых в организации нормативных документов
Оценка и согласовывание сроков выполнения поставленных задач
"|"Использовать методы и приемы формализации задач
Использовать методы и приемы алгоритмизации поставленных задач
Использовать программные продукты для графического отображения алгоритмов
Применять стандартные алгоритмы в соответствующих областях
"|"Методы и приемы формализации задач
Языки формализации функциональных спецификаций
Методы и приемы алгоритмизации поставленных задач
Нотации и программные продукты для графического отображения алгоритмов
Алгоритмы решения типовых задач, области и способы их применения
"
1|1|06.001|A|Разработка и отладка программного кода|3|"Младший программист
Техник-программист"|"Среднее профессиональное образование
Повышение квалификации"|-|Написание программного кода с использованием языков программирования, определения и манипулирования данными|A/02.3|3|"Создание программного кода в соответствии с техническим заданием (готовыми спецификациями)
Оптимизация программного кода с использованием специализированных программных средств
Оценка и согласование сроков выполнения поставленных задач
"|"Применять выбранные языки программирования для написания программного кода
Использовать выбранную среду программирования и средства системы управления базами данных
Использовать возможности имеющейся технической и/или программной архитектуры
"|"Синтаксис выбранного языка программирования, особенности программирования на этом языке, стандартные библиотеки языка программирования
Методологии разработки программного обеспечения
Методологии и технологии проектирования и использования баз данных
Технологии программирования
Особенности выбранной среды программирования и системы управления базами данных
Компоненты программно-технических архитектур, существующие приложения и интерфейсы взаимодействия с ними
"
2|2|06.001|A|Разработка и отладка программного кода|3|"Младший программист
Техник-программист"|"Среднее профессиональное образование
Повышение квалификации"|-|Оформление программного кода в соответствии с установленными требованиями|A/03.3|3|"Приведение наименований переменных, функций, классов, структур данных и файлов в соответствие с установленными в организации требованиями
Структурирование исходного программного кода в соответствии с установленными в организации требованиями
Комментирование и разметка программного кода в соответствии с установленными в организации требованиями
Форматирование исходного программного кода в соответствии с установленными в организации требованиями
"|"Применять нормативные документы, определяющие требования к оформлению программного кода
Применять инструментарий для создания и актуализации исходных текстов программ
Применять имеющиеся шаблоны для составления технической документации
"|"Инструментарий для создания и актуализации исходных текстов программ
Методы повышения читаемости программного кода
Системы кодировки символов, форматы хранения исходных текстов программ
Нормативные документы, определяющие требования к оформлению программного кода
"
3|3|06.001|A|Разработка и отладка программного кода|3|"Младший программист
Техник-программист"|"Среднее профессиональное образование
Повышение квалификации"|-|Работа с системой контроля версий|A/04.3|3|"Регистрация изменений исходного текста программного кода в системе контроля версий
Слияние, разделение и сравнение исходных текстов программного кода
Сохранение сделанных изменений программного кода в соответствии с регламентом контроля версий
"|"Использовать выбранную систему контроля версий
Использовать вспомогательные инструментальные программные средства для обработки исходного текста программного кода
Выполнять действия, соответствующие установленному регламенту используемой системы контроля версий
"|"Возможности используемой системы контроля версий и вспомогательных инструментальных программных средств
Установленный регламент использования системы контроля версий
"
4|4|06.001|A|Разработка и отладка программного кода|3|"Младший программист
Техник-программист"|"Среднее профессиональное образование
Повышение квалификации"|-|Проверка и отладка программного кода|A/05.3|3|"Анализ и проверка исходного программного кода
Отладка программного кода на уровне программных модулей
Отладка программного кода на уровне межмодульных взаимодействий и взаимодействий с окружением
Оценка и согласование сроков выполнения поставленных задач
"|"Выявлять ошибки в программном коде
Применять методы и приемы отладки программного кода
Интерпретировать сообщения об ошибках, предупреждения, записи технологических журналов
Применять современные компиляторы, отладчики и оптимизаторы программного кода
"|"Методы и приемы отладки программного кода
Типы и форматы сообщений об ошибках, предупреждений
Способы использования технологических журналов, форматы и типы записей журналов
Современные компиляторы, отладчики и оптимизаторы программного кода
Сообщения о состоянии аппаратных средств
"
5|5|06.001|B|Проверка работоспособности и рефакторинг кода программного обеспечения|4|Программист|"Среднее профессиональное образование
Повышение квалификации"|Практическая работа в области разработки программного обеспечения не менее 6 месяцев|Разработка процедур проверки работоспособности и измерения характеристик программного обеспечения|B/01.4|4|"Разработка процедуры проверки работоспособности программного обеспечения
Разработка процедуры сбора диагностических данных
Разработка процедуры измерения требуемых характеристик программного обеспечения
Оценка и согласование сроков выполнения поставленных задач
"|"Писать программный код процедур проверки работоспособности программного обеспечения на выбранном языке программирования
Использовать выбранную среду программирования для разработки процедур проверки работоспособности программного обеспечения на выбранном языке программирования
"|"Методы автоматической и автоматизированной проверки работоспособности программного обеспечения
Основные виды диагностических данных и способы их представления
Языки, утилиты и среды программирования, и средства пакетного выполнения процедур
Типовые метрики программного обеспечения
Основные методы измерения и оценки характеристик программного обеспечения
"
6|6|06.001|B|Проверка работоспособности и рефакторинг кода программного обеспечения|4|Программист|"Среднее профессиональное образование
Повышение квалификации"|Практическая работа в области разработки программного обеспечения не менее 6 месяцев|Разработка тестовых наборов данных|B/02.4|4|"Подготовка тестовых наборов данных в соответствии с выбранной методикой
Оценка и согласование сроков выполнения поставленных задач
"|"Разработка и оформление контрольных примеров для проверки работоспособности программного обеспечения
Разработка процедур генерации тестовых наборов данных с заданными характеристиками
Подготовка наборов данных, используемых в процессе проверки работоспособности программного обеспечения
"|"Методы создания и документирования контрольных примеров и тестовых наборов данных
Правила, алгоритмы и технологии создания тестовых наборов данных
Требования к структуре и форматам хранения тестовых наборов данных
"
7|7|06.001|B|Проверка работоспособности и рефакторинг кода программного обеспечения|4|Программист|"Среднее профессиональное образование
Повышение квалификации"|Практическая работа в области разработки программного обеспечения не менее 6 месяцев|Проверка работоспособности программного обеспечения|B/03.4|4|"Проверка работоспособности программного обеспечения на основе разработанных тестовых наборов данных
Оценка соответствия программного обеспечения требуемым характеристикам
Сбор и анализ полученных результатов проверки работоспособности программного обеспечения
Оценка и согласование сроков выполнения поставленных задач
"|"Применять методы и средства проверки работоспособности программного обеспечения
Интерпретировать диагностические данные (журналы, протоколы и др.)
Анализировать значения полученных характеристик программного обеспечения
Документировать результаты проверки работоспособности программного обеспечения
"|"Методы и средства проверки работоспособности программного обеспечения
Среда проверки работоспособности и отладки программного обеспечения
Внутренние нормативные документы, регламентирующие порядок документирования результатов проверки работоспособности программного обеспечения
"
8|8|06.001|B|Проверка работоспособности и рефакторинг кода программного обеспечения|4|Программист|"Среднее профессиональное образование
Повышение квалификации"|Практическая работа в области разработки программного обеспечения не менее 6 месяцев|Рефакторинг и оптимизация программного кода|B/04.4|4|"Анализ программного кода на соответствие требованиям по читаемости и производительности
Внесение изменений в программный код и проверка его работоспособности
Оценка и согласование сроков выполнения поставленных задач
"|"Применять методы, средства для рефакторинга и оптимизации
Применять инструментальные средства коллективной работы над программным кодом
Публиковать результаты рефакторинга и оптимизации в коллективной базе знаний в виде лучших практик
Использовать систему контроля версий для регистрации произведенных изменений
"|"Методы и средства рефакторинга и оптимизации программного кода
Языки программирования и среды разработки
Внутренние нормативные документы, регламентирующие требования к программному коду, порядок отражения изменений в системе контроля версий
Внутренние нормативные документы, регламентирующие порядок отражения результатов рефакторинга и оптимизации в коллективной базе знаний
"
9|9|06.001|B|Проверка работоспособности и рефакторинг кода программного обеспечения|4|Программист|"Среднее профессиональное образование
Повышение квалификации"|Практическая работа в области разработки программного обеспечения не менее 6 месяцев|Исправление дефектов, зафиксированных в базе данных дефектов|B/04.5|4|"Воспроизведение дефектов, зафиксированных в базе данных дефектов
Установление причин возникновения дефектов
Внесение изменений в программный код для устранения выявленных дефектов
Оценка и согласование сроков выполнения поставленных задач
"|"Применять методы и приемы отладки дефектного программного кода
Интерпретировать сообщения об ошибках, предупреждения, записи технологических журналов, возникающих при выполнении дефектного кода
"|"Методы и приемы отладки программного кода
Типовые ошибки, возникающие при разработке программного обеспечения, и методы их диагностики и исправления
"
